ANIM/j_Ankle_L:rx	-8.96499800	-11.58550900	-13.19623200	-14.46117300	-16.04434000	-18.11303300	-19.79479400	-20.19399100	-18.36343600	-14.17178000	-7.94714500	-0.01765500	8.96446700	16.62985000	20.07465000	17.14525600	11.71923000	7.93358200	4.67770700	1.04698500	-0.68802300	-0.96267100	0.05199400	2.22740200	5.25771000	0.86959700	-4.07383200	-6.01304100	-1.74976700	2.01326000	3.47655800	5.03843600	5.90684000	5.18382800	3.20398100	0.45406200	-2.57916700	-5.40894400	-7.49597100	-8.96499800
ANIM/j_Ankle_L:ry	-8.54349700	-8.92291900	-9.03375400	-9.06122400	-9.19055100	-9.60695700	-10.38933700	-11.15593100	-11.40098000	-10.82257700	-9.61635600	-8.02287400	-6.28268400	-5.01645600	-3.49296400	-0.53000000	3.02721900	5.92484500	7.27440400	7.61181900	7.53431100	7.89865500	8.49102500	8.68021200	7.92012700	6.50424200	5.06070000	4.23240600	3.23583700	1.48807500	-0.44402900	-2.34731900	-4.00864100	-5.30662200	-6.29796200	-7.03661600	-7.57654100	-7.97169300	-8.27602600	-8.54349700
ANIM/j_Ankle_L:rz	4.75025300	4.18149400	3.53935100	3.84865700	3.16054700	3.70254500	3.69285200	3.00792100	1.27728900	-1.91107900	-5.46340900	-8.29759000	-10.49396900	-11.90797800	-12.39505000	-11.49376800	-9.34490400	-6.70717600	-4.33930200	-2.80733300	-2.06788500	-1.96551900	-2.36509600	-3.56800800	-5.98641600	-8.47350500	-9.19016000	-7.32199000	-1.81377400	-0.28249200	0.42374900	0.96758900	1.78228600	2.65306500	3.51100500	4.28718300	4.91267200	5.31855200	5.21431300	4.75025300
ANIM/j_Ankle_R:rx	-2.52204000	-4.12074400	-4.35062300	-1.87123500	1.27250300	2.96499900	-1.82658500	-5.51381200	-4.84269200	-1.52181100	2.12051500	5.26672100	7.03758700	6.81436400	4.97943100	2.15527300	-1.03562700	-3.97078200	-6.37538100	-8.45209700	-10.29467800	-11.99687000	-13.65242100	-15.35508000	-17.11245000	-20.15733900	-20.54431000	-20.07174300	-18.16483900	-14.64562100	-9.33611000	-2.17895400	7.03271500	14.20154000	15.30461000	10.30666000	6.39364000	3.08714100	0.18322700	-2.52204000
ANIM/j_Ankle_R:ry	-16.36624000	-16.42013000	-15.99121300	-14.76049100	-12.87335000	-10.47517000	-7.79896800	-6.13369300	-6.28442000	-6.46961600	-5.48881100	-3.87237300	-2.06593400	-0.51512700	0.56420100	1.33164200	1.90472400	2.40097500	2.93792100	3.63309100	4.41594800	5.17051500	5.94615600	6.79223200	7.75810800	8.93470500	9.70460100	9.73554200	9.25141800	8.07330500	6.02227900	2.74912900	0.53977400	-3.07408000	-6.18889400	-9.11296800	-11.71952000	-13.88177100	-15.47293700	-16.36624000
ANIM/j_Ankle_R:rz	-0.52414100	-1.56712500	-1.21221900	0.37625700	2.86215400	6.02858800	7.99452300	6.87898800	2.19745800	-1.65318000	-1.62599000	-0.79488500	-1.19961300	-2.37582100	-3.88947100	-5.30652200	-6.19293500	-6.18274100	-6.20450700	-6.04678900	-5.79884000	-5.53520700	-5.33043800	-5.25908200	-5.39568600	-5.82968700	-6.16050800	-5.94940000	-5.07970000	-3.37406800	-0.65516800	3.25792100	7.22004100	9.41941900	9.40640900	8.20470300	6.21255100	3.82819400	1.44988200	-0.52414100
ANIM/j_Chest:rx	-4.19665300	-4.15719400	-4.04814400	-3.88349800	-3.67724800	-3.44338900	-3.19591400	-2.94881600	-2.71608900	-2.51172600	-2.34972000	-2.24406500	-2.20875500	-2.24043900	-2.32126900	-2.44349300	-2.59936000	-2.78111800	-2.98101400	-3.19129700	-3.40421500	-3.61201700	-3.80694900	-3.98126000	-4.20644900	-4.47924700	-4.67974700	-4.68804600	-4.31438200	-3.73555100	-3.38148600	-3.43132000	-3.69674900	-4.05654700	-4.38948900	-4.57435000	-4.57201600	-4.46623800	-4.32009300	-4.19665300
ANIM/j_Chest:ry	0.36658500	0.28016900	0.04223000	-0.31527200	-0.76037500	-1.26111800	-1.78554000	-2.30168100	-2.77757800	-3.18127000	-3.48079700	-3.64419700	-3.63950800	-3.45551200	-3.12260800	-2.67126300	-2.13194600	-1.53512400	-0.91126400	-0.29083500	0.29830200	0.84594000	1.34808800	1.80075600	2.19995600	2.54169800	2.82199000	3.03684700	3.18227600	3.25428700	3.24889300	3.16203600	2.99776900	2.76425800	2.46967400	2.12218700	1.72996500	1.30117800	0.84399500	0.36658500
ANIM/j_Chest:rz	-3.74852600	-3.59093500	-3.15381600	-2.49065300	-1.65492500	-0.70011700	0.32029100	1.35281500	2.34397700	3.24028900	3.98827300	4.53444700	4.82532600	4.96617700	4.99126800	4.74062200	4.17412800	3.39748500	2.46943400	1.44871600	0.39407000	-0.63576100	-1.58203800	-2.38602100	-3.03972600	-3.58021700	-4.01632700	-4.35688900	-4.61073500	-4.78669500	-4.89360500	-4.93973900	-4.93082700	-4.87188600	-4.76793300	-4.62398200	-4.44505000	-4.23615300	-4.00230600	-3.74852600
ANIM/j_Clavicle_L:rx	0.43949000	0.55557300	0.66223200	0.75849600	0.84339300	0.91595200	0.97520200	1.02017100	1.04988700	1.06342500	1.06141100	1.04520200	1.01615600	0.97562900	0.92497900	0.86556200	0.79873400	0.72585500	0.64827900	0.56736500	0.48446800	0.40094700	0.31815900	0.23745900	0.16020500	0.08775500	0.02146500	-0.03730900	-0.08720800	-0.11553800	-0.11380500	-0.08694800	-0.03990800	0.02237500	0.09495900	0.17290500	0.25127200	0.32511800	0.38950500	0.43949000
